features,label,directory
"[0.0358085093361958, 0.048853627011114065, 0.0, 0.07999643120786733, 0.49225120919480564, 1.0, 0.993233971269737, 0.9778251823631263, 0.9858521478340425, 0.8971002912377681, 0.9971179809301687, 0.9974846953697204, 1316.9482701190761, 67.0707975728267, 33.61127817346532, 22.082619623989142, 16.873766786671325, 12.367523787258726, 12.826707131808604, 6.325046808121636, 7.736486394800174, 6.7972568689084, 5.467613686414707, 5.99531125036245, 4.256242943846951, 729.5021313470987, 67.54013140426, 33.51336351878102, 21.859177883380905, 16.449368333062598, 12.71865865526125, 10.79616890320391, 8.96380160264355, 7.932162515716098, 7.065915748569298, 6.177516105699572, 5.988391322952882, 5.163002433512007]",bitter,EUReCA - dietary eeg
"[0.03626061366640772, 0.08402198557283512, 0.0, 0.10945871552708077, 0.5711236541960653, 1.0, 0.9889734830603423, 0.9645917913338953, 0.8511304486375687, 0.9577965339958716, 0.9924086464833518, 0.9978790268988221, 1317.2647323710946, 66.71834458604252, 33.61819037722075, 22.129967027932544, 17.302275704483048, 13.252275570913035, 9.181483990793012, 8.855163022524982, 7.375046812126174, 7.112526953278266, 9.072363840207245, 3.4596913605944657, 4.739308167519511, 729.7737729887624, 67.9055884143971, 32.70263956784456, 21.893510577164662, 16.71727759057181, 12.483619210398532, 10.79936776311767, 9.042683835365445, 8.184135290740127, 6.899898857741144, 6.40292662780852, 5.642438073372591, 4.779447487962125]",bitter,EUReCA - dietary eeg
"[0.018406533431833894, 0.04654832460150504, 0.0, 0.11807422645580401, 0.44330372110698874, 1.0, 0.9950534273492427, 0.9314397370614553, 0.9581408398362855, 0.9849212434516836, 0.9956413179534799, 0.9958928000004497, 1319.5160237122554, 66.46653307344388, 32.91911759587724, 21.622384723894264, 15.751048638780901, 12.407498573756264, 10.235657700236882, 9.224993227670163, 7.967653441224303, 6.795721559143011, 6.7570211156556015, 5.598909089294301, 5.503386389390221, 729.6702037894921, 67.40448815250087, 33.44995414252631, 22.03152446689639, 16.076855789740545, 12.84634192933698, 10.624376234801456, 9.288143187710602, 7.910185575020893, 6.938657636862212, 6.3088900002046255, 5.405790253337564, 5.453824773106661]",bitter,EUReCA - dietary eeg
"[0.024405281513838258, 0.030374397304057256, 0.0, 0.11191523859463148, 0.4386100934486092, 1.0, 0.9747264755318065, 0.9575106858147403, 0.9662412195137958, 0.9682882488740957, 0.9978882845793242, 0.9998842482811366, 1318.3670336727546, 66.3474616036452, 33.91565010944875, 22.30595967129715, 15.73256599632008, 12.278010929420793, 10.607738201282263, 8.127076210643825, 7.996059818633094, 7.032227793111154, 5.141725988991105, 6.152366296226242, 5.462197398973506, 729.4281029824482, 67.43148184894727, 33.80195073475153, 21.61957189820807, 16.1274914138331, 13.007388642021066, 10.674375627440849, 9.17044096867221, 7.723469265318011, 6.703409383318791, 6.753259234329735, 5.512433826909449, 5.227871143022464]",bitter,EUReCA - dietary eeg
"[0.03659645574421647, 0.05684825656995855, 0.0, 0.07493060878937652, 0.45962896044722423, 1.0, 0.9569851394636768, 0.9607830370985361, 0.9719073765386439, 0.8701534277112192, 0.9992469281813038, 0.9972948154231164, 1317.767847515679, 67.74773640358765, 32.00506396062309, 21.972611918576597, 16.174476093983483, 12.393605669069471, 10.634388318044834, 8.741606372003627, 8.169403941990684, 7.721136982642005, 6.01482109959904, 5.210832027120933, 4.816560392389782, 729.3171324436571, 67.71356151210199, 33.333564943138505, 21.78774624670574, 16.053893539585502, 13.265674863008233, 10.65865240436802, 8.75973219699519, 8.420552202333933, 6.90293674732477, 6.3366227453437425, 5.752595981710088, 5.026097077705263]",bitter,EUReCA - dietary eeg
"[0.043558962918092234, 0.06687423501281911, 0.0, 0.07032169005198873, 0.41201791763939266, 1.0, 0.9237160164329251, 0.9786180235760354, 0.9966381422028723, 0.9884274700560931, 0.999542206983283, 0.9994862986669563, 1319.6332768009477, 64.52434023206807, 33.463319959586144, 21.767689279842536, 17.16840333712276, 12.511587820152926, 9.860951315052255, 9.503181939065593, 8.151299738717496, 6.62248679722835, 6.463873259258444, 6.199684163098478, 8.620831939535368, 729.4289300234814, 67.72285949800097, 33.23223272264103, 21.97240348496117, 15.752967805589396, 13.461068213806964, 10.408931111517958, 9.230367708578909, 7.906331583879764, 7.047754288409779, 6.505528731342506, 5.304377329396845, 5.706745019865377]",bitter,EUReCA - dietary eeg
"[0.0, 0.06170652740348008, 0.017930836847110904, 0.08128862959530896, 0.4420822793516684, 1.0, 0.9928578745779801, 0.9714547278846405, 0.9593401558960363, 0.9829171456509017, 0.9999318218076402, 0.9948712762209377, 1318.2905640482707, 65.1744488923361, 34.246923627448325, 22.519803941357488, 16.096854515213984, 12.739998563537181, 11.568085672604, 8.952682305724835, 7.118380210697842, 7.1966860421689915, 5.298398808730024, 5.290412406577131, 5.419425011442776, 729.3383921982811, 67.54352826404147, 33.725770258847575, 21.586902278638075, 16.220650614876057, 13.00473780949649, 10.789151174677468, 9.167641163467039, 7.941471684698576, 7.290907721134003, 5.884581037201556, 5.118790799861451, 5.581325102391639]",bitter,EUReCA - dietary eeg
"[0.0, 0.03016888741611845, 0.02853482069141667, 0.08386890269371633, 0.5483166862586605, 1.0, 0.9829214114776033, 0.8957936066542365, 0.9940538747305391, 0.9976617074807296, 0.9994649615203589, 0.9990561533328864, 1319.3465566485531, 67.65948975645408, 32.29278890138224, 21.15421444442517, 15.821314170897423, 12.195693187794568, 9.96439505106115, 9.28707485389181, 7.88898664915486, 7.200039600346595, 6.239391680275135, 5.216894512823826, 6.247780963965409, 729.3093010124874, 67.35555635045768, 33.56784479259559, 21.598850722538053, 16.703839747589043, 12.987587520052772, 10.40198005736618, 9.21915783865268, 7.839837522609405, 7.140450320639086, 6.003469292939904, 5.974387729446089, 4.9893788236303]",bitter,EUReCA - dietary eeg
"[0.0018266439406023714, 0.021428150073733537, 0.0, 0.023569172860713777, 0.42640327235259073, 1.0, 0.8240813058490943, 0.9908917132898881, 0.998504944029833, 0.9861475331753718, 0.9991512546960825, 0.998185850039237, 1317.0216567064117, 66.06574614585975, 34.096442685018346, 21.87108177001418, 15.898106669733913, 13.238189172394252, 10.896436927975909, 9.25437143516638, 7.76184551377438, 8.685922697363893, 5.190311831744135, 5.96226875484812, 3.7376667915531088, 729.2887868845895, 67.70869200130704, 33.23358466301044, 21.793354217780525, 16.593952077137978, 12.704739077459074, 10.606964813059882, 9.168203708600075, 8.128895691645695, 6.833398893603037, 6.130971777749686, 5.8977037757482496, 5.014937669296378]",bitter,EUReCA - dietary eeg
"[0.028221217464918437, 0.04805569570409636, 0.0, 0.07048823496426224, 0.4347466339293347, 1.0, 0.9769319422030767, 0.9970007512602236, 0.9919519341460656, 0.9912679063649137, 0.9975928861725818, 0.9986054838958992, 1320.2942477727956, 65.16345191976461, 32.42173867874645, 22.346016454525923, 15.908429307126362, 13.370215303453634, 10.489898611529053, 8.746301363545344, 7.433374310177977, 7.338340535874561, 5.381327111147607, 5.923558790946851, 5.509939038180621, 729.6564348413464, 67.21413086375402, 33.15223085049246, 22.25442962246763, 16.03789969134708, 13.152285251057403, 10.437294342321845, 9.637557360269293, 7.723884918278172, 6.87903754700965, 6.255788368803076, 5.59704109536518, 5.068632196906984]",bitter,EUReCA - dietary eeg
