Time:250Hz,Epoch,FP1,FP2,Event Id,Event Date,Event Duration
0.5639999991,4,-47614.0000000000,167753.0000000000,,,
0.5679999990,4,-47263.0000000000,168519.0000000000,,,
0.5719999990,4,-47023.0000000000,169368.0000000000,,,
0.5759999990,4,-46570.0000000000,170236.0000000000,,,
0.5799999991,4,-47418.0000000000,171045.0000000000,,,
0.5839999991,4,-47263.0000000000,171816.0000000000,,,
0.5879999991,4,-46615.0000000000,172656.0000000000,,,
0.5919999990,4,-48792.0000000000,173548.0000000000,,,
0.5959999990,4,-47333.0000000000,174352.0000000000,,,
0.5999999992,4,-47500.0000000000,175125.0000000000,,,
0.6039999991,4,-45893.0000000000,175931.0000000000,,,
0.6079999991,4,-46882.0000000000,176823.0000000000,,,
0.6119999990,4,-47249.0000000000,177654.0000000000,,,
0.6159999990,4,-48811.0000000000,178441.0000000000,,,
0.6199999989,4,-47373.0000000000,179240.0000000000,,,
0.6239999991,4,-48274.0000000000,180127.0000000000,,,
0.6279999991,4,-47937.0000000000,180965.0000000000,,,
0.6319999991,4,-48359.0000000000,181753.0000000000,,,
0.6359999990,4,-47327.0000000000,182531.0000000000,,,
0.6399999990,5,-47580.0000000000,183412.0000000000,,,
0.6439999989,5,-47879.0000000000,184266.0000000000,,,
0.6479999989,5,-49344.0000000000,185071.0000000000,,,
0.6519999988,5,-48933.0000000000,185855.0000000000,,,
0.6559999988,5,-48744.0000000000,186722.0000000000,,,
0.6599999988,5,-48932.0000000000,187587.0000000000,,,
0.6639999989,5,-48997.0000000000,188381.0000000000,,,
0.6679999989,5,-48184.0000000000,189153.0000000000,,,
0.6719999989,5,-49034.0000000000,190015.0000000000,,,
0.6759999988,5,-49838.0000000000,190884.0000000000,,,
0.6799999988,5,-49243.0000000000,191701.0000000000,,,
0.6839999990,5,-48849.0000000000,192464.0000000000,,,
0.6879999989,5,-49093.0000000000,193307.0000000000,,,
0.6919999989,5,-49521.0000000000,194199.0000000000,,,
0.6959999988,5,-48587.0000000000,195013.0000000000,,,
0.6999999988,5,-49087.0000000000,195799.0000000000,,,
0.7039999987,5,-49852.0000000000,196634.0000000000,,,
0.7079999989,5,-49337.0000000000,197526.0000000000,,,
0.7119999989,5,-48312.0000000000,198355.0000000000,,,
0.7159999989,5,-48619.0000000000,199140.0000000000,,,
0.7199999988,5,-49416.0000000000,199957.0000000000,,,
0.7239999988,5,-50148.0000000000,200852.0000000000,,,
0.7279999990,5,-49465.0000000000,201691.0000000000,,,
0.7319999989,5,-49780.0000000000,202484.0000000000,,,
0.7359999989,5,-48848.0000000000,203271.0000000000,,,
0.7399999988,5,-48146.0000000000,204145.0000000000,,,
0.7439999988,5,-47439.0000000000,204992.0000000000,,,
0.7479999987,5,-47457.0000000000,205785.0000000000,,,
0.7519999989,5,-46536.0000000000,206559.0000000000,,,
0.7559999989,5,-48189.0000000000,207441.0000000000,,,
0.7599999988,5,-47821.0000000000,208303.0000000000,,,
0.7639999988,5,-48775.0000000000,209119.0000000000,,,
0.7679999988,6,-47938.0000000000,209881.0000000000,,,
0.7719999987,6,-49131.0000000000,210743.0000000000,,,
0.7759999987,6,-48493.0000000000,211616.0000000000,,,
0.7799999986,6,-48205.0000000000,212422.0000000000,,,
0.7839999986,6,-47901.0000000000,213192.0000000000,,,
0.7879999985,6,-47454.0000000000,214025.0000000000,,,
0.7919999987,6,-47886.0000000000,214911.0000000000,,,
0.7959999987,6,-49114.0000000000,215748.0000000000,,,
0.7999999986,6,-48101.0000000000,216515.0000000000,,,
0.8039999986,6,-49871.0000000000,217349.0000000000,,,
0.8079999986,6,-47279.0000000000,218221.0000000000,,,
0.8119999988,6,-47792.0000000000,219059.0000000000,,,
0.8159999987,6,-48152.0000000000,219842.0000000000,,,
0.8199999987,6,-47694.0000000000,220647.0000000000,,,
0.8239999986,6,-48897.0000000000,221547.0000000000,,,
0.8279999986,6,-47829.0000000000,222386.0000000000,,,
0.8319999985,6,-47878.0000000000,223164.0000000000,,,
0.8359999987,6,-48186.0000000000,223962.0000000000,,,
0.8399999987,6,-48868.0000000000,224836.0000000000,,,
0.8439999986,6,-48531.0000000000,225689.0000000000,,,
0.8479999986,6,-49081.0000000000,226482.0000000000,,,
0.8519999986,6,-47878.0000000000,227251.0000000000,,,
0.8559999987,6,-48875.0000000000,228111.0000000000,,,
0.8599999987,6,-47790.0000000000,228965.0000000000,,,
0.8639999987,6,-49312.0000000000,229776.0000000000,,,
0.8679999986,6,-48178.0000000000,230524.0000000000,,,
0.8719999986,6,-48580.0000000000,231371.0000000000,,,
0.8759999985,6,-47668.0000000000,232234.0000000000,,,
0.8799999987,6,-49972.0000000000,233063.0000000000,,,
0.8839999987,6,-49532.0000000000,233826.0000000000,,,
0.8879999986,6,-48872.0000000000,234651.0000000000,,,
0.8919999986,6,-48660.0000000000,235527.0000000000,,,
0.8959999986,7,-48992.0000000000,236343.0000000000,,,
0.8999999985,7,-49782.0000000000,237115.0000000000,,,
0.9039999985,7,-48929.0000000000,237922.0000000000,,,
0.9079999984,7,-50053.0000000000,238807.0000000000,,,
0.9119999984,7,-48106.0000000000,239604.0000000000,,,
0.9159999983,7,-47983.0000000000,240370.0000000000,,,
0.9199999985,7,-47921.0000000000,241154.0000000000,,,
0.9239999985,7,-48302.0000000000,242024.0000000000,,,
0.9279999984,7,-49399.0000000000,242864.0000000000,,,
0.9319999984,7,-49087.0000000000,243632.0000000000,,,
0.9359999984,7,-49210.0000000000,244400.0000000000,,,
0.9399999985,7,-48162.0000000000,245255.0000000000,,,
0.9439999985,7,-48603.0000000000,246096.0000000000,,,
0.9479999985,7,-48175.0000000000,246876.0000000000,,,
0.9519999984,7,-48549.0000000000,247643.0000000000,,,
0.9559999984,7,-48726.0000000000,248486.0000000000,,,
0.9599999983,7,-49545.0000000000,249348.0000000000,,,
0.9639999985,7,-48054.0000000000,250131.0000000000,,,
0.9679999985,7,-49125.0000000000,250899.0000000000,,,
0.9719999984,7,-47675.0000000000,251719.0000000000,,,
0.9759999984,7,-48450.0000000000,252582.0000000000,,,
0.9799999984,7,-48410.0000000000,253375.0000000000,,,
0.9839999985,7,-47128.0000000000,254118.0000000000,,,
0.9879999985,7,-48421.0000000000,254938.0000000000,,,
0.9919999985,7,-49129.0000000000,255806.0000000000,,,
0.9959999984,7,-49434.0000000000,256606.0000000000,,,
0.9999999984,7,-49815.0000000000,257357.0000000000,,,
1.0039999983,7,-49207.0000000000,258155.0000000000,,,
1.0079999985,7,-49943.0000000000,259019.0000000000,,,
1.0119999985,7,-50077.0000000000,259834.0000000000,,,
1.0159999984,7,-50081.0000000000,260590.0000000000,,,
1.0199999984,7,-49613.0000000000,261362.0000000000,,,
1.0239999983,8,-50844.0000000000,262234.0000000000,,,
1.0279999983,8,-50311.0000000000,263049.0000000000,,,
1.0319999983,8,-50267.0000000000,263809.0000000000,,,
1.0359999982,8,-50225.0000000000,264562.0000000000,,,
1.0399999982,8,-49634.0000000000,265396.0000000000,,,
1.0439999981,8,-49434.0000000000,266217.0000000000,,,
1.0479999983,8,-50902.0000000000,266998.0000000000,,,
1.0519999983,8,-50286.0000000000,267728.0000000000,,,
1.0559999982,8,-50032.0000000000,268549.0000000000,,,
1.0599999982,8,-49783.0000000000,269387.0000000000,,,
1.0639999982,8,-49502.0000000000,270159.0000000000,,,
1.0679999983,8,-48203.0000000000,270877.0000000000,,,
1.0719999983,8,-48965.0000000000,271688.0000000000,,,
1.0759999983,8,-50999.0000000000,272552.0000000000,,,
1.0799999982,8,-49585.0000000000,273319.0000000000,,,
1.0839999982,8,-50598.0000000000,274060.0000000000,,,
1.0879999981,8,-49016.0000000000,274847.0000000000,,,
1.0919999983,8,-49426.0000000000,275691.0000000000,,,
1.0959999983,8,-50016.0000000000,276484.0000000000,,,
1.0999999982,8,-50309.0000000000,277225.0000000000,,,
1.1039999982,8,-50003.0000000000,277997.0000000000,,,
1.1079999981,8,-49531.0000000000,278840.0000000000,,,
1.1119999983,8,-49392.0000000000,279624.0000000000,,,
1.1159999983,8,-50094.0000000000,280369.0000000000,,,
1.1199999982,8,-49088.0000000000,281112.0000000000,,,
1.1239999982,8,-50502.0000000000,281965.0000000000,,,
1.1279999982,8,-50693.0000000000,282774.0000000000,,,
1.1319999981,8,-49355.0000000000,283508.0000000000,,,
1.1359999983,8,-49474.0000000000,284257.0000000000,,,
1.1399999983,8,-50804.0000000000,285096.0000000000,,,
1.1439999982,8,-49201.0000000000,285892.0000000000,,,
1.1479999982,8,-49253.0000000000,286651.0000000000,,,
1.1519999981,9,-50309.0000000000,287392.0000000000,,,
1.1559999981,9,-48142.0000000000,288182.0000000000,,,
1.1599999981,9,-48648.0000000000,289011.0000000000,,,
1.1639999980,9,-49266.0000000000,289770.0000000000,,,
1.1679999980,9,-50253.0000000000,290495.0000000000,,,
1.1719999979,9,-48912.0000000000,291275.0000000000,,,
1.1759999981,9,-50204.0000000000,292103.0000000000,,,
